sub_station,sub_address,lat,long
Allapattah,"3501 NW 12 Avenue, Miami, Fl 33127",25.808705,-80.215403
Brickell,"1001 SW First Avenue Miami, Fl 33130",25.763735,-80.195469
Brownsville,"5200 NW 27 Avenuem Miami, Fl 33142",25.822028,-80.240729
Civic Center,"1501 NW 12 Avenue Miami, Fl 33136",25.789686,-80.215124
Coconut Grove,2780 SW 27 Avenue Miami FL 33133,25.739809,-80.238819
Culmer,701 NW 11 Street Miami FL 33136,25.784551,-80.207646
Dadeland North,8310 South Dixie Highway Miami Fl 33143,25.69199,-80.305102
Dadeland South,9090 South Dixie Highway Miami FL 33156,25.685244,-80.313352
Douglas Road,3060 SW 37 Court Miami Fl 33133,25.732773,-80.254778
"Dr. Martin Luther King, Jr.",6205 NW 27 Avenue Miami FL 33147,25.83241,-80.241212
Earlington Heights,2100 NW 41 Street 33142,25.812453,-80.229909
Government Center,101 NW First Street 33128,25.776025,-80.196118
Hialeah,125 East 21 Street 33010,25.841149,-80.278977
Historic Overtown/Lyric Theatre,100 NW 6 Street 33136,25.780986,-80.1936
Miami International Airport,3800 NW 25th St 33142,25.797805,-80.258625
Northside,3150 NW 79 Street 33147,25.845784,-80.24886
Okeechobee,2005 West Okeechobee Road 33010,25.839807,-80.30156
Palmetto,7701 NW 79 Avenue 33166,25.84337,-80.323845
Santa Clara,2050 NW 12 Avenue,25.795747,-80.21514
Souh Miami,5801 South Dixie Highway,25.705075,-80.289014
Tri-Rail,"1125 E. 25 Street, Hialeah",25.845446,-80.259687
University,5400 Ponce de Leon,25.714849,-80.27689
Vizcaya,3201 SW First Avenue,25.749705,-80.211825
